GAME_ID,POSSESSION_ID,PERIOD,START_CLOCK,END_CLOCK,EVENTS,ACTION_TYPES,EVENT_LIST,TEAM,team,TEAM_ID,PLAYER_ID,PLAYER_NAME,HOME_SCORE,AWAY_SCORE,FIRST_SHOT_RESULT,FIRST_SHOT_VALUE,FIRST_SHOT_SUBTYPE,FIRST_SHOT_PLAYER,FIRST_SHOT_X_LEGACY,FIRST_SHOT_Y_LEGACY,FIRST_SHOT_DISTANCE,FIRST_SHOT_SECONDS,POSS_LENGTH,TIME_UNTIL_FIRST_SHOT,SHOT_TIME_FOR_ANALYSIS,TWO_FOR_ONE_ATTEMPT,NO_TWO_FOR_ONE_ATTEMPT,POSS_PTS,FREE_THROW_PTS,TWO_FOR_ONE_SECOND_POSSESSION?,NON_TWO_FOR_ONE_SECOND_POSSESSION?,SECOND_POSSESSION_PTS,SECOND_POSSESSION_SHOT_RESULT,SECOND_POSSESSION_SHOT_SECONDS,TWO_FOR_ONE_SECOND_POSSESSION_PTS,TOTAL_PTS_ON_ALL_2FOR1_POSS,TEAM_ABBREV,logo,Player,Images
0022500001,202,4,PT00M33.50S,PT00M33.50S,1,Missed Shot,MISS Wallace 25' 3PT Jump Shot,OKC,Oklahoma City Thunder,1610612760,1641717,C. Wallace,102,103,Missed,3.0,Jump Shot,C. Wallace,154.0,198.0,25.0,34.0,4.0,0.0,4.0,1,0,0.0,0,1.0,,2.0,Made,3.0,2.0,2.0,OKC,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,Cason Wallace,https://cdn.nba.com/headshots/nba/latest/1040x760/1641717.png
0022500002,208,4,PT00M39.10S,PT00M35.50S,2,"Timeout, Missed Shot",LAKERS Timeout: Regular (Full 5 Short 0) | MISS Doncic 3PT Fadeaway Jumper,LAL,Los Angeles Lakers,1610612747,1629029,L. Dončić,109,119,Missed,3.0,Fadeaway Jump Shot,L. Dončić,-227.0,22.0,0.0,36.0,3.0,3.0,3.0,1,0,0.0,0,0.0,,,,,0.0,0.0,LAL,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,Luka Dončić,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png
0022500003,213,4,PT00M37.40S,PT00M34.70S,2,"Steal, Made Shot",Anunoby STEAL (3 STL) | Anunoby 1' Running Reverse Dunk Shot (23 PTS) (Brunson 5 AST),NYK,New York Knicks,1610612752,1628384,O. Anunoby,118,108,Made,2.0,Running Reverse Dunk Shot,O. Anunoby,-12.0,2.0,1.0,35.0,2.0,2.0,2.0,1,0,2.0,0,1.0,,0.0,,,0.0,2.0,NYK,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,OG Anunoby,https://cdn.nba.com/headshots/nba/latest/1040x760/1628384.png
0022500005,219,4,PT00M34.10S,PT00M17.00S,2,"Rebound, Missed Shot",Sheppard REBOUND (Off:0 Def:4) | MISS Siakam 26' 3PT Pullup Jump Shot,IND,Indiana Pacers,1610612754,1627783,P. Siakam,111,112,Missed,3.0,Pullup Jump shot,P. Siakam,-25.0,257.0,26.0,17.0,17.0,17.0,17.0,0,1,0.0,0,,1.0,2.0,Made,7.0,2.0,2.0,IND,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,Pascal Siakam,https://cdn.nba.com/headshots/nba/latest/1040x760/1627783.png
0022500006,96,2,PT00M38.80S,PT00M33.50S,2,"Rebound, Missed Shot",Murray REBOUND (Off:1 Def:1) | MISS Murray 5' Driving Layup,DEN,Denver Nuggets,1610612743,1627750,J. Murray,57,70,Missed,2.0,Driving Layup Shot,J. Murray,-54.0,-5.0,5.0,34.0,5.0,5.0,5.0,1,0,0.0,0,1.0,,0.0,,,0.0,0.0,DEN,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,Jamal Murray,https://cdn.nba.com/headshots/nba/latest/1040x760/1627750.png
0022500010,102,2,PT00M34.20S,PT00M26.70S,2,"Rebound, Made Shot",K. Williams REBOUND (Off:1 Def:2) | Wallace 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 2 AST),OKC,Oklahoma City Thunder,1610612760,1641717,C. Wallace,60,69,Made,3.0,Jump Shot,C. Wallace,233.0,22.0,0.0,27.0,7.0,7.0,7.0,1,0,3.0,0,0.0,,,,,0.0,3.0,OKC,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,Cason Wallace,https://cdn.nba.com/headshots/nba/latest/1040x760/1641717.png
0022500014,48,1,PT00M37.00S,PT00M34.80S,2,"Rebound, Missed Shot",HAWKS Rebound | MISS Okongwu 26' 3PT Jump Shot,ATL,Atlanta Hawks,1610612737,1630168,O. Okongwu,19,18,Missed,3.0,Jump Shot,O. Okongwu,104.0,239.0,26.0,35.0,2.0,2.0,2.0,1,0,0.0,0,1.0,,0.0,Missed,2.0,0.0,0.0,ATL,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,Onyeka Okongwu,https://cdn.nba.com/headshots/nba/latest/1040x760/1630168.png
0022500014,204,4,PT00M36.10S,PT00M31.10S,2,"Timeout, Missed Shot",HAWKS Timeout: Regular (Full 6 Short 0) | MISS McCollum 2' Driving Floating Jump Shot,ATL,Atlanta Hawks,1610612737,203468,C. McCollum,105,109,Missed,2.0,Driving Floating Jump Shot,C. McCollum,20.0,11.0,2.0,31.0,5.0,5.0,5.0,1,0,0.0,0,1.0,,2.0,Made,26.0,2.0,2.0,ATL,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,CJ McCollum,https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png
0022500015,113,2,PT00M39.40S,PT00M34.30S,2,"Rebound, Missed Shot",Holmgren REBOUND (Off:1 Def:2) | MISS Gilgeous-Alexander 32' 3PT Pullup Jump Shot,OKC,Oklahoma City Thunder,1610612760,1628983,S. Gilgeous-Alexander,49,66,Missed,3.0,Pullup Jump shot,S. Gilgeous-Alexander,120.0,295.0,32.0,34.0,5.0,5.0,5.0,1,0,0.0,0,0.0,,,,,0.0,0.0,OKC,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,Shai Gilgeous-Alexander,https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png
0022500020,49,1,PT00M34.30S,PT00M20.20S,2,"Rebound, Made Shot",Wallace REBOUND (Off:0 Def:2) | Okongwu 24' 3PT Jump Shot (6 PTS) (Wallace 4 AST),ATL,Atlanta Hawks,1610612737,1630168,O. Okongwu,27,32,Made,3.0,Jump Shot,O. Okongwu,240.0,40.0,24.0,20.0,14.0,14.0,14.0,0,1,3.0,0,,0.0,,,,0.0,3.0,ATL,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,Onyeka Okongwu,https://cdn.nba.com/headshots/nba/latest/1040x760/1630168.png
